Timestamp,Segment,Self-report
2024-04-10 11:06:58.413,1,0
2024-04-10 11:07:57.911,2,0.6250555
2024-04-10 11:08:57.757,3,1.016914
2024-04-10 11:09:57.769,4,2.09415
2024-04-10 11:10:58.130,5,2.932901
2024-04-10 11:11:57.780,6,3.720553
2024-04-10 11:12:58.057,7,4.300117
2024-04-10 11:13:57.627,8,5.257083
2024-04-10 11:14:58.347,9,5.903745
2024-04-10 11:15:57.763,10,6.295059
