"sep=	"
ECL_S02_TimestampSync_Unix_CAL	ECL_S02_GSR_Range_CAL	ECL_S02_GSR_Skin_Conductance_CAL	ECL_S02_GSR_Skin_Resistance_CAL	ECL_S02_PPG_A12_CAL	
ms	no_units	uS	kOhms	mV	
1.7126464121821514E12	1.0	5.766359076463605	173.41965471447546	1572.161172161172	
1.7126464122016526E12	1.0	5.766359076463605	173.41965471447546	1554.5787545787546	
1.7126464122211536E12	1.0	5.766359076463605	173.41965471447546	1518.6813186813185	
1.7126464122406548E12	1.0	5.766359076463605	173.41965471447546	1486.4468864468863	
1.7126464122601558E12	1.0	5.766359076463605	173.41965471447546	1466.6666666666665	
1.712646412279657E12	1.0	5.771464308049673	173.26625386996906	1455.6776556776556	
1.712646412299158E12	1.0	5.771464308049673	173.26625386996906	1442.4908424908424	
1.7126464123186592E12	1.0	5.771464308049673	173.26625386996906	1428.5714285714284	
1.7126464123381604E12	1.0	5.771464308049673	173.26625386996906	1424.1758241758241	
1.7126464123576614E12	1.0	5.771464308049673	173.26625386996906	1421.9780219780218	
1.7126464123771626E12	1.0	5.771464308049673	173.26625386996906	1416.117216117216	
1.7126464123966636E12	1.0	5.776569539635741	173.11312417145385	1405.8608058608058	
1.7126464124161648E12	1.0	5.771464308049673	173.26625386996906	1394.139194139194	
1.712646412435666E12	1.0	5.771464308049673	173.26625386996906	1375.091575091575	
1.712646412455167E12	1.0	5.771464308049673	173.26625386996906	1356.0439560439559	
1.7126464124746682E12	1.0	5.771464308049673	173.26625386996906	1342.1245421245421	
1.7126464124941692E12	1.0	5.766359076463605	173.41965471447546	1350.9157509157508	
1.7126464125136704E12	1.0	5.766359076463605	173.41965471447546	1353.8461538461538	
1.7126464125331714E12	1.0	5.766359076463605	173.41965471447546	1353.8461538461538	
1.7126464125526726E12	1.0	5.761253844877538	173.57332742578646	1339.194139194139	
1.7126464125721738E12	1.0	5.761253844877538	173.57332742578646	1332.6007326007325	
1.7126464125916748E12	1.0	5.761253844877538	173.57332742578646	1325.2747252747251	
1.712646412611176E12	1.0	5.75614861329147	173.72727272727275	1318.6813186813185	
1.712646412630677E12	1.0	5.75614861329147	173.72727272727275	1312.8205128205127	
1.7126464126501782E12	1.0	5.751043381705402	173.88149134487352	1316.4835164835165	
1.7126464126696792E12	1.0	5.751043381705402	173.88149134487352	1331.135531135531	
1.7126464126891804E12	1.0	5.7459381501193345	174.03598400710797	1366.3003663003662	
1.7126464127086816E12	1.0	5.7459381501193345	174.03598400710797	1413.1868131868132	
1.7126464127281826E12	1.0	5.740832918533267	174.1907514450867	1467.3992673992673	
1.7126464127476838E12	1.0	5.735727686947199	174.34579439252337	1506.9597069597069	
1.7126464127671848E12	1.0	5.735727686947199	174.34579439252337	1538.4615384615383	
1.712646412786686E12	1.0	5.730622455361131	174.5011135857461	1568.4981684981683	
1.712646412806187E12	1.0	5.730622455361131	174.5011135857461	1593.4065934065934	
1.7126464128256882E12	1.0	5.725517223775063	174.65670976370933	1607.3260073260071	
1.7126464128451895E12	1.0	5.720411992188995	174.81258366800537	1605.128205128205	
1.7126464128646904E12	1.0	5.720411992188995	174.81258366800537	1586.8131868131868	
1.7126464128841917E12	1.0	5.715306760602927	174.9687360428763	1560.4395604395604	
1.7126464129036926E12	1.0	5.710201529016859	175.12516763522575	1529.6703296703295	
1.7126464129231938E12	1.0	5.705096297430792	175.28187919463087	1506.227106227106	
1.712646412942695E12	1.0	5.699991065844724	175.43887147335423	1471.062271062271	
1.712646412962196E12	1.0	5.699991065844724	175.43887147335423	1451.2820512820513	
1.7126464129816973E12	1.0	5.694885834258656	175.5961452263559	1456.4102564102564	
1.7126464130011982E12	1.0	5.689780602672588	175.75370121130553	1466.6666666666665	
1.7126464130206995E12	1.0	5.684675371086521	175.91154018859453	1468.8644688644688	
1.7126464130402004E12	1.0	5.684675371086521	175.91154018859453	1454.212454212454	
1.7126464130597017E12	1.0	5.674464907914385	176.2280701754386	1438.8278388278388	
1.712646413079203E12	1.0	5.674464907914385	176.2280701754386	1428.5714285714284	
1.7126464130987039E12	1.0	5.669359676328318	176.38676271949572	1421.245421245421	
1.712646413118205E12	1.0	5.66425444474225	176.54574132492112	1399.2673992673992	
