ms	no_units	uS	kOhms	mV	
1.7127129414916094E12	3.0	0.21378621378621376	4677.5700934579445	2036.6300366300366	
1.7127129415111116E12	3.0	0.21334221334221332	4687.304890738814	1972.8937728937728	
1.7127129415306138E12	3.0	0.21334221334221332	4687.304890738814	1891.5750915750914	
1.712712941550116E12	3.0	0.2128982128982129	4697.080291970803	1816.117216117216	
1.7127129415696184E12	3.0	0.2128982128982129	4697.080291970803	1742.8571428571427	
1.7127129415891206E12	3.0	0.21245421245421242	4706.896551724139	1665.9340659340658	
1.7127129416086228E12	3.0	0.21245421245421242	4706.896551724139	1596.3369963369962	
1.712712941628125E12	3.0	0.21245421245421242	4706.896551724139	1545.054945054945	
1.7127129416476272E12	3.0	0.212010212010212	4716.753926701571	1509.1575091575091	
1.7127129416671294E12	3.0	0.212010212010212	4716.753926701571	1493.040293040293	
1.7127129416866316E12	3.0	0.212010212010212	4716.753926701571	1490.8424908424906	
1.7127129417061338E12	3.0	0.212010212010212	4716.753926701571	1495.2380952380952	
1.712712941725636E12	3.0	0.21156621156621155	4726.652675760756	1506.9597069597069	
1.7127129417451384E12	3.0	0.21156621156621155	4726.652675760756	1501.098901098901	
1.7127129417646406E12	3.0	0.21156621156621155	4726.652675760756	1496.7032967032967	
1.7127129417841428E12	3.0	0.21156621156621155	4726.652675760756	1474.7252747252746	
1.712712941803645E12	3.0	0.21156621156621155	4726.652675760756	1446.153846153846	
1.7127129418231472E12	3.0	0.21156621156621155	4726.652675760756	1423.4432234432234	
1.7127129418426494E12	3.0	0.21156621156621155	4726.652675760756	1395.6043956043954	
1.7127129418621516E12	3.0	0.21156621156621155	4726.652675760756	1368.4981684981683	
1.7127129418816538E12	3.0	0.21156621156621155	4726.652675760756	1348.7179487179487	
1.7127129419011562E12	3.0	0.21156621156621155	4726.652675760756	1317.9487179487178	
1.7127129419206584E12	3.0	0.21156621156621155	4726.652675760756	1298.9010989010987	
1.7127129419401606E12	3.0	0.212010212010212	4716.753926701571	1304.0293040293038	
1.7127129419596628E12	3.0	0.212010212010212	4716.753926701571	1312.087912087912	
1.712712941979165E12	3.0	0.212010212010212	4716.753926701571	1306.227106227106	
1.7127129419986672E12	3.0	0.21245421245421242	4706.896551724139	1288.6446886446886	
1.7127129420181694E12	3.0	0.212010212010212	4716.753926701571	1271.062271062271	
1.7127129420376716E12	3.0	0.212010212010212	4716.753926701571	1262.2710622710622	
1.712712942057174E12	3.0	0.212010212010212	4716.753926701571	1250.5494505494505	
1.7127129420766763E12	3.0	0.212010212010212	4716.753926701571	1231.5018315018315	
1.7127129420961785E12	3.0	0.212010212010212	4716.753926701571	1225.6410256410256	
1.7127129421156807E12	3.0	0.212010212010212	4716.753926701571	1224.9084249084249	
1.7127129421351829E12	3.0	0.212010212010212	4716.753926701571	1220.5128205128203	
1.712712942154685E12	3.0	0.212010212010212	4716.753926701571	1221.245421245421	
1.7127129421741873E12	3.0	0.212010212010212	4716.753926701571	1230.03663003663	
1.7127129421936895E12	3.0	0.21156621156621155	4726.652675760756	1245.4212454212454	
1.712712942213192E12	3.0	0.21156621156621155	4726.652675760756	1286.4468864468863	
1.712712942232694E12	3.0	0.21156621156621155	4726.652675760756	1393.4065934065934	
1.7127129422521963E12	3.0	0.21112221112221113	4736.5930599369085	1573.6263736263736	
1.7127129422716985E12	3.0	0.2106782106782107	4746.575342465753	1789.0109890109889	
1.7127129422912007E12	3.0	0.2106782106782107	4746.575342465753	1969.9633699633698	
1.712712942310703E12	3.0	0.2102342102342102	4756.599788806759	2072.5274725274726	
1.712712942330205E12	3.0	0.20934620934620934	4776.77624602333	2089.3772893772893	
1.7127129423497073E12	3.0	0.20890220890220892	4786.92879914984	2043.956043956044	
1.7127129423692097E12	3.0	0.20757020757020755	4817.64705882353	1975.8241758241757	
1.712712942388712E12	3.0	0.20712620712620713	4827.974276527331	1903.296703296703	
1.712712942408214E12	3.0	0.20712620712620713	4827.974276527331	1831.5018315018315	
1.7127129424277163E12	3.0	0.20623820623820627	4848.762109795479	1752.3809523809523	
1.7127129424472185E12	3.0	0.20623820623820627	4848.762109795479	1673.9926739926739	
